timestep,avg_reward,avg_length,success_rate
1000,31.4998,250.0,0.0
2000,16.474867,250.0,0.0
3000,22.21654,250.0,0.0
4000,28.974861,250.0,0.0
5000,28.259863,250.0,0.0
6000,27.166534,250.0,0.0
7000,24.392746,250.0,0.0
8000,27.981125,250.0,0.0
9000,33.008205,249.36111111111111,2.7777777777777777
10000,29.057394,249.425,2.5
11000,30.079426,249.47727272727272,2.272727272727273
12000,32.41864,249.52083333333334,2.083333333333333
13000,30.594124,249.55769230769232,1.9230769230769231
14000,29.248117,249.58928571428572,1.7857142857142856
15000,30.118244,249.61666666666667,1.6666666666666667
16000,27.729597,249.640625,1.5625
17000,27.55433,249.66176470588235,1.4705882352941175
18000,27.08742,249.68055555555554,1.3888888888888888
19000,29.993341,249.69736842105263,1.3157894736842104
20000,29.143677,249.7125,1.25
21000,29.417782,249.72619047619048,1.1904761904761905
22000,30.048786,249.73863636363637,1.1363636363636365
23000,36.953182,249.18478260869566,3.260869565217391
24000,35.9593,249.21875,3.125
25000,36.206932,249.25,3.0
26000,40.610928,249.25,4.0
27000,45.145912,249.2,5.0
28000,44.973915,249.2,5.0
29000,46.075924,249.2,5.0
30000,49.066925,248.23,6.0
31000,50.24092,248.23,6.0
32000,50.34292,248.23,6.0
33000,49.81293,248.23,6.0
34000,49.31593,248.46,5.0
35000,52.131927,248.46,5.0
36000,53.525932,248.46,5.0
37000,53.811928,248.08,6.0
38000,56.34293,247.37,7.000000000000001
39000,57.578926,247.37,7.000000000000001
40000,60.988926,246.53,8.0
41000,65.680916,246.01,9.0
42000,69.516914,244.61,10.0
43000,69.72092,244.61,10.0
44000,74.04092,243.93,12.0
45000,73.39292,243.93,12.0
46000,79.4539,241.1,15.0
47000,75.43291,241.19,14.000000000000002
48000,75.689896,241.58,14.000000000000002
49000,82.20488,237.81,16.0
50000,77.512886,237.81,15.0
51000,76.72589,236.62,15.0
52000,75.0619,236.62,15.0
53000,77.648895,234.65,16.0
54000,78.9009,232.73,17.0
55000,79.538895,232.73,17.0
56000,83.94189,231.04,19.0
57000,85.6179,230.98,20.0
58000,90.23289,227.41,22.0
59000,92.2109,226.81,23.0
60000,89.66089,226.11,22.0
61000,89.7539,224.48,23.0
62000,87.839905,225.32,22.0
63000,89.383896,223.8,23.0
64000,95.0189,219.43,26.0
65000,98.74788,217.24,27.0
66000,103.98288,214.75,28.000000000000004
67000,108.50788,213.42,28.999999999999996
68000,107.22088,214.37,28.000000000000004
69000,108.014885,214.37,28.000000000000004
70000,105.60891,214.41,27.0
71000,99.3439,218.18,25.0
72000,100.3539,218.18,25.0
73000,102.3259,218.08,25.0
74000,101.043915,218.08,25.0
75000,100.20191,218.82,25.0
76000,98.190895,219.89,24.0
77000,98.86292,219.83,25.0
78000,96.371925,221.52,23.0
79000,97.80791,221.52,23.0
80000,95.51391,221.98,22.0
81000,95.626915,220.73,22.0
82000,99.784904,220.73,22.0
83000,105.144905,220.41,23.0
84000,106.42491,220.07,24.0
85000,102.2809,222.11,22.0
86000,98.53892,223.33,21.0
87000,96.98792,225.2,20.0
88000,91.68293,227.01,19.0
89000,88.08193,229.68,17.0
90000,87.33194,230.76,17.0
91000,83.95393,231.58,16.0
92000,85.079926,231.54,17.0
93000,87.77591,229.96,18.0
94000,91.62692,228.23,19.0
95000,91.621925,227.6,20.0
96000,96.42092,226.39,21.0
97000,104.76689,223.39,24.0
98000,103.75793,224.62,23.0
99000,110.141914,222.24,25.0
100000,112.6349,219.71,27.0
101000,114.083916,217.4,28.999999999999996
102000,110.86893,219.29,28.000000000000004
103000,119.88592,213.58,32.0
104000,114.22691,215.69,30.0
105000,117.1829,212.91,31.0
106000,116.9909,213.55,31.0
107000,119.76089,214.83,31.0
108000,125.42791,212.72,34.0
109000,127.44789,212.36,34.0
110000,126.625885,212.36,34.0
111000,129.13489,210.49,35.0
112000,130.85489,210.49,35.0
113000,134.0119,208.18,36.0
114000,140.95792,206.72,39.0
115000,147.0269,206.47,41.0
116000,146.95587,206.64,41.0
117000,148.2479,203.12,42.0
118000,150.41788,200.7,43.0
119000,150.9769,200.85,43.0
120000,150.02687,200.57,42.0
121000,151.19589,198.72,42.0
122000,156.18088,198.31,44.0
123000,153.35588,200.76,43.0
124000,154.89189,200.34,44.0
125000,152.78287,202.27,43.0
126000,151.4319,201.96,43.0
127000,152.27988,201.2,44.0
128000,148.77188,203.18,42.0
129000,147.88689,203.91,42.0
130000,146.94888,202.11,42.0
131000,143.73889,202.03,41.0
132000,141.29791,202.26,41.0
133000,141.4979,203.84,41.0
134000,141.2189,203.43,41.0
135000,136.17088,204.99,39.0
136000,130.17088,206.81,37.0
137000,126.7139,209.5,35.0
138000,119.16689,214.03,32.0
139000,122.366905,211.97,34.0
140000,118.35891,214.31,32.0
141000,114.14589,216.02,31.0
142000,114.49387,218.2,31.0
143000,111.08688,220.77,30.0
144000,110.540886,218.63,28.999999999999996
145000,106.850876,220.57,28.000000000000004
146000,106.994896,220.59,28.000000000000004
147000,103.43091,222.69,27.0
148000,112.04788,218.98,30.0
149000,122.51489,210.93,35.0
150000,133.83087,204.37,40.0
151000,144.45886,201.61,44.0
152000,148.97389,199.26,46.0
153000,149.80089,198.63,46.0
154000,151.7979,196.66,47.0
155000,158.25787,195.64,49.0
156000,162.39886,192.19,51.0
157000,171.49184,189.88,54.0
158000,166.51485,192.91,52.0
159000,170.27885,190.27,54.0
160000,172.56186,188.48,55.00000000000001
161000,172.87384,188.8,55.00000000000001
162000,175.29884,190.55,55.00000000000001
163000,174.77185,190.5,55.00000000000001
164000,183.22089,186.61,56.99999999999999
165000,185.07887,187.61,56.99999999999999
166000,183.78384,187.7,56.00000000000001
167000,183.53084,189.19,56.00000000000001
168000,179.58687,193.89,53.0
169000,176.05482,196.85,51.0
170000,170.64885,200.91,48.0
171000,162.23184,201.98,45.0
172000,170.82985,197.84,48.0
173000,174.1488,195.23,49.0
174000,172.70284,193.71,49.0
175000,176.87186,193.92,50.0
176000,173.77586,194.16,49.0
177000,181.47488,190.69,52.0
178000,186.09688,188.49,54.0
179000,187.42186,188.94,54.0
180000,187.84283,187.57,54.0
181000,185.68884,187.81,54.0
182000,191.83784,185.68,56.99999999999999
183000,186.87486,189.11,55.00000000000001
184000,197.86285,182.81,61.0
185000,199.15083,179.41,62.0
186000,202.16286,178.21,64.0
187000,202.77385,179.78,65.0
188000,199.44489,179.93,64.0
189000,206.04485,177.75,66.0
190000,202.73785,181.54,65.0
191000,195.42981,185.8,61.0
192000,193.90283,185.51,61.0
193000,199.39085,177.69,64.0
194000,199.95284,178.01,64.0
195000,192.71284,181.39,61.0
196000,189.17789,181.5,60.0
197000,186.38788,184.2,59.0
198000,189.17084,184.87,60.0
199000,189.58984,183.5,60.0
200000,190.94785,184.68,60.0
