timestep,avg_reward,avg_length,success_rate
189000,131.95087,207.07,36.0
190000,127.09488,209.17,34.0
191000,126.52089,209.93,34.0
192000,129.24689,208.21,35.0
193000,129.91888,209.31,35.0
194000,123.67087,212.53,32.0
195000,124.4489,213.53,32.0
196000,124.89687,212.47,32.0
197000,130.49388,210.2,34.0
198000,128.52888,211.31,33.0
199000,122.75988,213.28,30.0
200000,120.807884,213.2,30.0
