timestep,avg_reward,avg_length,success_rate
1000,8.250061,250.0,0.0
2000,20.12502,250.0,0.0
3000,36.866657,250.0,0.0
4000,32.462494,250.0,0.0
5000,28.48999,250.0,0.0
6000,32.41665,250.0,0.0
7000,34.192837,250.0,0.0
8000,34.85623,250.0,0.0
9000,33.944424,250.0,0.0
10000,34.579956,250.0,0.0
11000,35.54995,250.0,0.0
12000,33.562454,250.0,0.0
13000,33.080727,250.0,0.0
14000,33.62138,250.0,0.0
15000,38.081604,249.58333333333334,1.6666666666666667
16000,37.589005,249.609375,1.5625
17000,37.372,249.63235294117646,1.4705882352941175
18000,35.837444,249.65277777777777,1.3888888888888888
19000,34.456524,249.67105263157896,1.3157894736842104
20000,32.9487,249.6875,1.25
21000,31.943998,249.70238095238096,1.1904761904761905
22000,34.198814,248.2159090909091,2.272727272727273
23000,36.07929,248.29347826086956,2.1739130434782608
24000,35.621815,248.36458333333334,2.083333333333333
25000,39.09994,247.6,3.0
26000,41.16794,247.6,3.0
27000,45.478935,247.39,5.0
28000,45.072933,247.39,5.0
29000,48.70492,247.13,6.0
30000,48.766933,247.13,6.0
31000,51.750927,245.31,8.0
32000,51.044926,245.31,8.0
33000,52.506927,244.15,9.0
34000,53.130924,244.15,9.0
35000,52.272934,244.15,9.0
36000,52.34094,244.15,9.0
37000,50.896942,244.15,9.0
38000,55.159935,244.14,10.0
39000,52.868935,244.39,9.0
40000,51.78694,244.39,9.0
41000,58.722946,241.21,12.0
42000,60.650948,241.21,12.0
43000,61.94894,241.21,12.0
44000,64.424934,241.21,12.0
45000,66.160934,241.21,12.0
46000,62.34094,242.53,11.0
47000,62.61094,242.53,11.0
48000,62.786934,242.53,11.0
49000,61.268944,242.53,11.0
50000,56.687943,243.36,10.0
51000,55.523937,243.44,9.0
52000,50.01495,243.57,8.0
53000,47.72896,243.83,7.000000000000001
54000,50.144962,243.83,7.000000000000001
55000,51.958946,242.75,7.000000000000001
56000,48.363945,243.8,6.0
57000,49.041954,243.8,6.0
58000,46.76195,244.96,5.0
59000,45.447952,244.96,5.0
60000,47.689953,244.96,5.0
61000,48.16795,244.96,5.0
62000,46.20095,244.97,4.0
63000,44.520958,244.97,4.0
64000,45.722958,244.97,4.0
65000,44.330956,246.23,3.0
66000,38.66096,248.15,1.0
67000,40.239964,247.16,2.0
68000,40.341965,247.16,2.0
69000,40.13997,247.16,2.0
70000,40.80997,247.16,2.0
71000,42.807964,247.16,2.0
72000,41.78397,247.16,2.0
73000,42.064976,245.43,3.0
74000,42.78497,245.43,3.0
75000,43.951977,244.34,4.0
76000,46.29397,244.34,4.0
77000,46.423965,244.34,4.0
78000,45.977978,244.34,4.0
79000,45.483986,244.34,4.0
80000,42.714977,246.19,3.0
81000,46.472977,244.99,4.0
82000,46.89798,243.4,5.0
83000,46.51198,243.4,5.0
84000,48.087975,241.26,6.0
85000,46.91798,241.26,6.0
86000,47.683983,241.26,6.0
87000,47.147987,241.26,6.0
88000,50.79098,239.67,7.000000000000001
89000,50.38098,239.67,7.000000000000001
90000,49.970985,239.67,7.000000000000001
91000,49.754982,239.17,7.000000000000001
92000,49.250988,239.17,7.000000000000001
93000,46.402985,239.17,7.000000000000001
94000,48.860996,237.91,8.0
95000,50.136,235.9,9.0
96000,52.019997,235.9,9.0
97000,55.71299,235.75,10.0
98000,57.93698,232.97,11.0
99000,59.634987,231.81,12.0
100000,60.010975,231.81,12.0
101000,59.06297,231.81,12.0
